paragraph,questions
"So if we're trying to find the cube root of 8, for example, versus a cube root of 9-- this is 8 and this is 9-- what is this code going to do? It's going to first guess 0.
0 cubed is not greater or equal to 8.
1 cubed is not greater or equal to 8.
2 cubed is greater or equal to 8, so here, once we've guessed 2, we're going to break.
Because we found a number that works.
And there's no need to keep looking.
Once we've found the cubed root of this number 8, there's no need to keep searching the remainder, 3, 4, 5, 6, 7, 8.
Sort of the same idea when we're trying to find the cube root of 9.
We're going to start with 0.
0 to the power of 3 is less than 9.
1 to the power of 3 is less 9.
2 to the power of 3 is less than 9.
When we get to 3 to the power of 3, that's going to be greater than 9.
So this code tells us, once we've picked a number that's beyond the reasonable number of our cubed root, of our cube, the cubed root of our cube, then we should stop.
Because, again, it doesn't make sense to keep searching.
Because if 3 to the power of 3 is already greater than 9, 4 to the power of 3 is also going to be greater than 9 and so on.
So once we break here, we either have guess being 2 or guess being 3 depending on what cube we're trying to find.","can someone explain for me what is the meaning of iteration in programing in a simple way
I though it was called binary search why it's called bisection in here?
Why aren't we getting cube root of 27 and 8120601 in form of x.xx as we always increment guess by second decimal place.
Cube root simple guess. Why does that code keeps running?
Am I stupid? In Approximations code we set guess=0.0 and increment=0.01. How can our answer be different than increment times number of guesses??
and guess**3<=cube is better choice ?
What I get from the approximation algorithm is that it will only give you an answer if the difference between guess**3 and cube is equal to epsilon, if it manages to jump above epsilon, guess will increase in value until it is <= cube, and thus the message ""failed to obtain a value"" will appear. How can we make it so that if the difference does jump above epsilon that the value will get will be the value of guess at time - 1 of that moment.
Why did she set N/2k to 1? (N/2k =1) Thanks!
For bisection I wanted to use this code to take direct input, but error is coming. #To find the cube root of a number using bisection method cube=float(input(""Put the number... "")) accuracy=float(input(""Give accuracy limit... "") low=0.0 high=cube guess=((high+low)*0.5) iteration=0 while abs(guess**3.0-cube)>accuracy: if (guess**3.0)<=cube: low=guess else: high=guess guess=((high+low)*0.5) iteration += 1 print (guess, ""is close to the cube root of"", cube) print (""Total iteration="", iteration) **************************** syntax error in low=0 why?
can anyone tell me what am i doing wrong!! code: cube = int(input('type the no....')) for guess in range(cube+1): if guess**3 == cube: print(""Cube root of"", cube, ""is"", guess) else: print(""cube root does'nt exist"") output:- type the no....1(#1 was the input) cube root does'nt exist Cube root of 1 is 1
How do you do a bisection search for a cuberoot when x is a decimal? I cant be find an answer anywhere.
why are we writing range(cube+1) instead of *range(cube)*?
I know she said it is a simple if statement but I can't figure it out. What did you do to make it work? My thought is: if cube < 0: guess = -guess
What is the answer of cube = 27 on the exercise. I rewrote the code on the IDE but the execution never ended, why? Help, please
What is the if statement for negative values in the bisection search
what is the meaning of epsilon here ???"
"All right? Between the two of those, we get our supreme pizza, but sometimes, as we'll see, they sort of mess each other up.
So one of the toppings just doesn't go well with the other one.
Maybe someone doesn't Hawaiian.
They think that the ham doesn't go well with the pineapple.
So let's do a branch and bound that just has an extended list.
Maybe we've got some green peppers on this pizza.
This is going to be safe.
All right.
So we're going to list the nodes as to the extended list, and the way we're going to do that is, well, you guys said you like goal tree more than queue, so let's do it with a goal tree.
So we've got S, and as we already know, S is the only path.
Our current length at S is 0.
That's the lowest of all of our lengths on the tree cause it's the only length.
So we go to A, B, and C.
It may be hard to see, so the length of SA is 100.
The length of SB is-- AUDIENCE: You mean ABEF? AUDIENCE: Yeah.
[CHATTER] PROFESSOR: Oh.
You're right.
It's a different tree.
I was doing A, B, and C from the other tree.
Thank you, friends, for correcting my foolishness.
The length of SB is 3.
It is a different tree.
I was trying to save work that wound up creating more because someone's going to be confused by this.
So the length of A, B, E, and F are 100, 3, 14, and 14.
Which one do we choose? Lexicographically, it's A.
We choose that one, right? AUDIENCE: [CHATTER] PROFESSOR: F is going to be 14.
That' a 1.
Sorry.
AUDIENCE: 4.
4.
PROFESSOR: Oh, it's 4? I wrote this problem.
I should know it.
You're right.
F is 4.","Hi, Is there anyone who knows and can explain how he came up with the choice tree using the table? Thanks in advance..."
"Uh, that's what it means for a product of two things to be greater than zero, both things have to have the same sign, right, and so if this is if- if, um, so as long as this is bigger than 0, it means it's classifying that example correctly.
Um, and the SVM is asking for it to not just classify correctly, but classify correctly with the- with the functional margin of the- at least 1.
Um, and if you allow CI to be positive, then that's relaxing that constraint.
Okay.
Um, but you don't want the CIs to be too big which is why you add to the optimization cost function, a cost for making CI too big.
[NOISE] And so you optimize this as function of W.
[NOISE] And these are Greek alphabets c.
[NOISE] Um, and if- if you draw a picture, it turns out that, um, in this example with that being the optimal decision boundary, um, it turns out that these examples- [NOISE] these three examples would be equidistant from this straight line, right? Because if they weren't, then you can fiddle the straight line to improve the margin even a little bit more.
It turns out that these few examples have, um, functional margin exactly equal to 1.
And this example over there, we have functional margin equal to 2, and the further away examples of even bigger functional margins.
And what this optimization objective is saying is that it is okay if you have an example here, where functional margin so everything right so everything here has functional margin one.
If an example here I have functional margin a little bit less than one.
And this by having- by setting Ci to 0.5 say is letting me [NOISE] get away with having function module lower than, less than 1.","Question for the kind hearted people who understood: in the geometric margin, y is either 1 or -1 right? But wasnt it mentioned before that y is either 1 or 0? I got a little messed up on that.
What is that that weird symbol he wrote during L1 soft margin svm? He called it c-i , i guess"
"Or if we choose x6 to be false, then that path will lead to here and we'll be able to hit this question mark and get the star up here.
So as long as we satisfy the clause, there will be at least one star.
Won't help if you have multiple stars.
Then the final traversal part-- so that was this first clause.
And now we're traversing through.
Actually in this picture, it's left to right.
Just turn your head.
And so now Mario is going to have to traverse this gadget from left to right on this top part.
And if Mario comes in here and you can barely jump over that.
If there's a star, you can collect the star and then run through all of these flaming bars of death.
If there's no star, you can't.
You'll die if you try to traverse.
So in order to be able to traverse all these clauses, they must all be true.
And them all being true is the same is their AND being true.
So you will be able to survive through all these clauses if and only if this formula has a satisfying assignment.
The satisfying assignment would be given to you by the level play.
The choices that Mario makes in this gadget will tell you whether each variable should be true or false.
So to elaborate just a little bit more in general, when you have a reduction like this, to prove that it actually works, you need to check two things.","can someone explain the mario and clause reduction to me, or provide a link for theory.
Why create the last crossover gadget instead of using pipes to move you where you need to be? Or was the spirit of the exercise to use the most basic implementation of Mario possible? Is the whole goomba/mushroom thing better? (Also, the final mushroom check can be a small tunnel of fire vines short enough for the hit invincibility to last, but full enough that small Mario can't pass.)"
"Um, I think on Monday someone asked, ""Do the number of speakers and number of microphones need to be equal?"" So it turns out that, um, if the number of, uh, um, microphones is larger than the number of speakers, that's actually fine, right? If you- if the number of microphones is larger than the number of speakers, then if you run ICA or, or a slightly modified version of it, you'll find that some of the speakers are just silent speakers.
Um, uh, and so, you know, if you have, uh, 10 microphones and five speakers, if you run this algorithm on 10 microphones, you can find that, well, maybe five of the sources are just silent or there are ways to just not model those five sources as well, right? If, if you think that, uh, they're just some sources of silence.","Do you guys know when is the ""last time"" he mentions about ""cocktail party problem"" before this lecture?"
"So we're just going to exponentiate and normalize these distances where we are dividing by the distance between the anchor in each of the negatives.
And so this basically gives you the probability that x plus is a positive example, rather than being a negative example.
And when you actually then compute the loss for this-- oh, actually, sorry.
These should technically, I guess, be f of x.
Or equivalently, you could write these as d of z or d of z and d of z plus and d of z and d of z minus.
So d will just correspond to either the Euclidean losses before or something like negative cosine similarity.","Also, why did the professor use a negative sign for the distance? The paper clearly doesnt do that. I think this is corrected but it makes it confusing"
"However, we can also take the same set of individuals and connect them based on sexual relationships, but then, we'll ab- creating a sexual network, or for example, if we have a set of scientific papers, we can connect them based on citations, which paper cites which other paper.
But for example, if we were to connect them based on whether they use the same word in the title, the- the quality of underlying network and the underlying, uh, representations might be, uh, much worse.
So the choice of what the- the nodes are and what the links are is very important.
So whenever we are given a data set, then we need to decide how are we going to design the underlying graph, what will be the objects of interest nodes, and what will be the relationships between them, what will be the edges.",what will be the effect of losing use-case-specific information?
"I'm biased, but I really like the recursive one.
It is crisper to look at, you can see what it's doing.
I'm reducing this problem to a simpler version of that problem.
Pick your own version but I would argue that the recursive version is more intuitive to understand.
From a programmer's perspective, it's actually often more efficient to write, because I don't have to think about interior variables.
Depending on the machine, it may not be as efficient when you call it because in the recursive version I've got it set up, that set of frames.
And some versions of these languages are actually very efficient about it, some of them a little less so.
But given the speed of computers today, who cares as long as it actually just does the computation.
Right, one more example, how do we really know our recursive code works? Well, we just did a simulation but let's look at it one more way.
The iterative version, what can I say about it? Well, I know it's going to terminate because b is initially positive, assuming I gave it an appropriate value.
It decreases by 1 every time around this loop, at some point it has to get less than 1, it's going to stop.
So I can conclude it's always going to terminate.
What about the recursive version? Well, if I call it with b equal to one, I'm done.
If I call it with b greater than one, again it's going to reduce it by one on the recursive call, which means on each recursive call it's going to reduce and eventually it gets down to a place, assuming I gave it a positive integer, where b is equal to one.
So it'll stop, which just good.
What we just did was we used the great tool from math, second best department at MIT.
Wow, I didn't even get any hisses on that one, John, all right, and I'm now in trouble with the head of the math department.","Would inclusion in the lecture of the 'call stack' or Python's symbol table concept help explain recursion? As you recursively call the function object's return value, the frames get 'popped' off the stack (symbol table on Python I think?) Sorry, self-taught. Still learning every day.
0!=1 but the function given here runs in an infinite recursion when the input is 0
How do we initialise variables in recursion in Python so that it continues values in every local scope without it's initial value in global scope?
In his Towers of Hanoi code, I can figure out the process when n==1 and n==2, but I can't figure out steps in the process when n==3 or more. I think he wants us to think of it recursively: if it is true for smaller versions of the problem, then it is true for the bigger version of the problem and the code turns out to be true when n==3
Ken MacDonald Yeah I know but as n goes up, there will be hundreds of steps. So do they recurse on the other because the same rules still applied?
I'm a little confused on one point. I understand recursion, but from what I am reading online, most of the time it is more efficient in terms of processing times to write code using an iteration than a recursion. I get that some people might find one more readable than the other and that for many programs, most users wouldn't notice a difference, but wouldn't it be a best practice to normally iterate to make code as efficient as possible?"
"Now for the next element of this I need something to read.
Has anyone got a textbook handy? Ah, ""China, an Illustrated History."" Now I need a volunteer.
OK.
Andrew, you want to do this? So here's what you're going to do.
You can stay there.
But you need to stand up.
So what I'm going to do is, I'm going to read you a passage from this book.
And I want you to say it back to me at the same time I read it.
It's as if you're doing simultaneous translation, except it's English to English.
This things got words I can't pronounce.
OK, are you ready to go? All right.
""When overwhelmed by the magnitude of the problems he tackled, he began to suspect that others were plotting against him or secretly ridiculing him."" Thank you very much.
That's great.
So you see, he could do it.
Some people can't do it.
At least it take a little practice.
But he did it.
And guess what I've done to him? I've reduced his intelligence to that of a rat.
Because if you do this experiment with an adult human who's doing this simultaneous English to English translation, they go with equal probability to the two corners.
So what's happened? What's happened is you've jambed their language processor.
And when their language processor is jambed they can't put the blue wall together with the rectangular shape.
So it seems to be that language is the mediator of exactly the combinators you need in order to build descriptions.
Because they can't even put those things together when their language processor is jambed by the simultaneous translation phenomenon.","Great lecture. What is the experiment name that Patrick Winston described at the end of the lecture?
What was the topic covered in Lecture 20??"
"In fact, that's how we got here in the first place.
So the question is-- let's see, the question is, do we have a rule in the consequent that matches Millicent studies a lot.
Yeah, that's right, P3.
That's right.
So P3 would give us Millicent studies a lot.
And so therefore what will we add to the goal tree? AUDIENCE: We add both that is Millicent either a protagonist or a villain and [INAUDIBLE].
MARK SEIFTER: Yeah, she.
Turns out to be a girl.
So that's exactly right.
We heard that we need to add-- we need to add an AND node, which also has an OR node at the bottom of it, because this is a little bit of a complicated rule.","In rule P2, it states: IF ?x lives in SD THEN ?x is a villain ?x is ambitious. Why does the word AND not appear there? Shouldn't it say this: IF ?x lives in SD THEN AND(?x is a villain, ?x is ambitious) Or is adjacency meaning multiple things written next to each other automatically assumed to be conjunction? If that is the case, why is AND ever used in these rules?"
"Just two differences I guess.
For linear regression.
Last week, I have written this down, theta J gets updated as theta J minus partial with respect to theta J of J of theta, right? So you saw this on Wednesday.
So the two differences between that is well, first instead of J of theta you're now trying to optimize the log-likelihood instead of this squared cost function.
And the second change is, previously you were trying to minimize the squared error.
That's why we had the minus.
And today you're trying to maximize the log-likelihood which is why there's a plus sign.
Okay? And so, um, so gradient descent you know, is trying to climb down this hill whereas gradient ascent has a, um, uh, has a- has a concave function like this.
And it's trying to, like, climb up the hill rather than climb down the hill.
So that's why there's a plus symbol here instead of a minus symbol because we are trying to maximize the function rather than minimize the function.
So the last thing to really flesh out this algorithm which is done in the lecture notes, but I don't want to do it here today is to plug in the definition of H of theta into this equation and then take this thing.
So that's the log-likelihood of theta and then through calculus and algebra you can take derivatives of this whole thing with respect to theta.
This is done in detail in the lecture notes.
I don't want to use this in class, but go ahead and take derivatives of this big formula with respect to the parameters theta in order to figure out what is that thing, right? What is this thing that I just circled? And it turns out that if you do so you will find that batch gradient ascent is the following.",can anyone explain me where that x came from in the final equation of gradient ascent
"So I had F and B, and so I don't want to add F or B there.
But what is convenient to do, as it turns out, is to just have something that essentially says, there's an ending point.
So you have an explicit end to the array that is actually not something that would crash if you tried to access it.
You had n people in line, and now you have effectively n plus 1 people in line.
But that n plus one person is a dummy, or you can call them ""end."" And then if you do that, then that's it.
The previous code works.
You can just remove those four lines, and it'll all just work because your F or your B is not equal to ""end."" So whatever you had at the end-- I'm sorry.","do we actually need two if checks?
Did this guy just populate the array randomly? I cant tell. I tried 2^(2n) -2n, -n, and -1 to check for indices and their evenness to determine where the Bs are being populated. Because if you know the loc of the Bs in the array, you know where the Fs are. In theory, iff you know the number of moves to flip the array to conform to one of the two, you know the other procedure. But, then you know based on which case you use for performance efficiency, the effectiveness of the algorithm . But for his array, the case of populating in B was like ceil(n/2) and F case was like floor(n/2) + c, c contains [1,2] for cases of 0...9 and 0...10. How it was populated is like the one thing I dont understand here. The best I can think of is using 2^i somewhere: Edit: parameters for c is [0,2], not [1,2]"
"For that to work, of course, the relations between subproblems must be acyclic, so we'd like to give an explicit topological order.
Usually it's a couple of for loops.
But this is a topological order in the subproblem DAG, which I defined somewhat informally last time.
the.
Vertices are subproblems, and I want to draw an edge from a smaller problem to a bigger problem, meaning that, if evaluating b in this relation calls a, then I'll draw an arrow from a to b, from the things I need to do first to the things I'll do later.
So then topological order will be ready-- by the time I try to compute b, I will have already computed a.","Is the topology reversed when you go from top down vs bottom up? I'm a bit confused by the topology. Are suffix subproblems always have topology of decreasing i ?
Hard time understanding relation between graphs and answer of problems"
"Like kind of the [INAUDIBLE].
LING REN: And, OK, so then it's let them select their leader respectively and compare which one is larger.
It's interesting thought.
AUDIENCE: First, for example, A, B finds the maximum between these two, the C, D finds the maximum E [INAUDIBLE] maximum.
Kind of merging, considering them as one node.
LING REN: I think the first difficulty I see is that if you cut it by half, it's no longer a ring, right.
AUDIENCE: Also they can't cut themselves in half.
LING REN: Yeah.
Yeah.
Correct.
Yeah, yeah.
Yeah, it's definitely not an easy problem, not a easy algorithm.
And the idea is to, well, you had the right idea.
That we want to-- what's the word? Let the weak candidates shut up early.","Not much intuitive , if half of node goes inactive in next round how could they ever know who is their supreme leader ? If I have A, B, C, D if say B send message to A, C I am the leader and they agree , then B sends message to D and say I am the leader , by D says that , I have large number dude , you are not leader then D is the leader now B know that D is the leader it need to pass that information down to B and C and now all know that D is there leader ."
"LING REN: Pardon? AUDIENCE: It would be O of n factorial? LING REN: You're going too fast.
Let's write the algorithm first.
So I want to solve my rectangle block problem, say from 1 to n.
What are my subproblems? AUDIENCE: Choose one block.
LING REN: OK.
Let's choose one block.
AUDIENCE: And then you run RB of everything except that block.
LING REN: So I get its height, and then I have a subproblem.
What is the subproblem? And then I'll take a max.
So the difficulty here is this subproblem.
So Andrew, right? So Andrew said it's just everything except i.
Is that the case? Go ahead.
AUDIENCE: It's everything except i, and anything with wider or longer than i.
LING REN: Do you get that? Not only do we have to exclude i, we also have to exclude everything longer or wider than i.
So that's actually a messy problem.
So let me define this subproblem to be a compatible set of w i.
And let me define that to be the set of blocks where the length is smaller than the required length, and their which is also smaller than the required width.
So this should remind you of the weighted interval scheduling problem, where we define a compatible set once we have chosen some block.
Question? AUDIENCE: What are we trying to do here? Are we trying to minimize h? LING REN: Maximize h.
We want to get as high as possible.
I choose a block, I get its height, and then I find out the competitive remaining blocks, and I want to stack them on top of it.
Everyone agrees this solution is correct? OK, then let's analyze its runtime.
So how do we analyze runtime? So what's the first question I always ask? AUDIENCE: How many subproblems? LING REN: Yeah.
I'm not sure who said that, but how many subproblems do we have? AUDIENCE: At most n? LING REN: At most n.","I doubt if O(m*n) is the solution for the grid problem.. Suppose we are going to m,n = (2, 2) , from x, y = (0, 0). Up (U) or Right (R) are options: P1: UURR P2: URUR P3: URRU P4: RURU P5: RRUU # of distinct path: 5 != 2*2 = m*n ..?
First of all time complexity is not the same as # of distinct paths from 0,0 to 2, 2. Second of all, you have a 3x3 matrix which has 6 distinct paths, you are missing the P6: RUUR.
16: 00 I couldn't understand the line ""One is East West, One is North South"" ... ?? I understood about that l ,w are to be compared against l1 and w1 and not w1 and l1 respectively. but how does that english sentence mean this mathematical expression.
what's the difference between these R videos and the normal lecture?"
